Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA
Date,,,,,,,,,,,,,,,
2020-03-18,59.71546936035156,133.92147827148438,24.08133316040039,60.521617752082875,139.26308174950935,26.99066734313965,57.403542823432716,128.78973899188242,23.367332458496094,58.04507418797264,131.6322279550157,25.933332443237305,300233600,81593200,356793000
2020-03-19,59.25791931152344,136.1248779296875,28.50933265686035,61.20913545401907,143.22155860648684,30.133333206176758,58.732592172693536,132.58606363997856,23.8973331451416,59.88976507646557,136.18210699531306,24.979999542236328,271857200,85922700,452932500
2020-03-20,55.49589538574219,131.01220703125,28.50200080871582,60.96462703593952,140.3123086824431,31.799999237060547,55.19570687816326,129.59095548794107,28.38599967956543,59.83892290297791,139.26306062299406,29.213333129882812,401693200,84866200,424282500
2020-03-23,54.31694412231445,129.70542907714844,28.952667236328125,55.316762499666766,134.0836423608826,29.46666717529297,51.47000835368413,126.40509306902422,27.366666793823242,55.21508661799568,130.6879003068529,28.906667709350586,336752800,78975200,246817500
2020-03-24,59.76631164550781,141.49508666992188,33.66666793823242,59.962401104198456,142.69695531892708,34.24599838256836,56.72086326951332,134.75132797536872,31.600000381469727,57.21956082962695,137.1168883034806,31.81999969482422,287531200,82516700,343428000
2020-03-25,59.43705749511719,140.14059448242188,35.95000076293945,62.51881651598571,147.20867460267078,37.133331298828125,59.14171177404684,137.77503445041356,34.07400131225586,60.70316840806745,142.03877414693974,36.349998474121094,303602000,75638200,318340500
2020-03-26,62.564823150634766,148.9065704345703,35.21066665649414,62.62292153490078,149.4311945319734,37.33333206176758,59.640418371654654,141.52371431628413,34.150001525878906,59.679153090462734,141.55232885298807,36.49266815185547,252087200,64568100,260710500
2020-03-27,59.9744987487793,142.7923583984375,34.29066848754883,61.94265908510833,147.74287746196345,35.0533332824707,59.80745850642363,142.3154300039506,32.935333251953125,61.18735053944383,144.7477677267737,33.66666793823242,204216800,57042300,215661000
2020-03-30,61.68605041503906,152.83644104003906,33.47533416748047,61.85793342734731,153.1893778840761,34.44333267211914,60.376361777058186,143.08802528988713,32.7486686706543,60.700760441559225,145.40590442813732,34.017333984375,167976400,63420300,179971500
2020-03-31,61.56016540527344,150.43272399902344,34.93333435058594,63.54527367451045,157.17648228814505,36.19733428955078,61.005789027148815,149.3357802257252,33.133331298828125,61.87730177654374,152.04472935430687,33.41666793823242,197002000,77927200,266572500
2020-04-01,58.32103729248047,145.09117126464844,32.104000091552734,60.211731543217255,150.47092351034203,34.26333236694336,57.89012378283002,143.86070228787162,31.67333221435547,59.674299423281,145.9401033095552,33.599998474121094,176218400,57969900,200298000
2020-04-02,59.29423522949219,148.09579467773438,30.29800033569336,59.34749454652656,148.3056443284032,32.95066833496094,57.350281239576255,143.42190239581785,29.760000228881836,58.18305925799057,144.85268752963302,32.068668365478516,165934000,49630700,297876000
2020-04-03,58.44209289550781,146.73178100585938,32.000667572021484,59.48064217824671,150.11797527329975,34.36600112915039,57.85140134510496,145.16745656701602,31.22599983215332,58.77859292542469,147.94318311575407,33.96666717529297,129880000,41243300,338431500
2020-04-06,63.54043960571289,157.6438751220703,34.41600036621094,63.69537111341419,158.8171145960234,34.733333587646484,60.37152842394567,150.30871596903418,33.19733428955078,60.73949721914278,152.92228813961418,34.08000183105469,201820400,67111700,223527000
2020-04-07,62.80448532104492,155.94602966308594,36.36333465576172,65.7748907610296,162.1556312433612,37.66666793823242,62.700389921682174,155.726632153198,35.48933410644531,65.55700704789928,161.76454652194099,36.33333206176758,202887200,62769000,268797000
2020-04-08,64.41191864013672,157.51036071777344,36.589332580566406,64.72662794839724,158.9792936241454,37.14733123779297,63.240221561349166,155.95556964727277,35.55533218383789,63.60576693586022,158.02543692905505,36.9466667175293,168895200,48318200,189840000
2020-04-09,64.87674713134766,157.51988220214844,38.20000076293945,65.38029109822737,159.64697839696208,38.345333099365234,64.0802880085237,155.79340404258915,37.14066696166992,65.04863383479294,158.6835884470431,37.4726676940918,161834800,51385100,204750000
2020-04-13,66.1501235961914,157.87278747558594,43.39666748046875,66.25906545571533,157.93003109276276,43.46666717529297,64.35383885573385,154.8109161952684,38.70199966430664,64.95421592166439,156.76632497332315,39.34400177001953,131022800,41905300,337131000
2020-04-14,69.49091339111328,165.6849365234375,47.32600021362305,69.78142008992293,165.73263227819874,49.45866775512695,67.31213531371759,160.24795523877634,46.1619987487793,67.78420685231022,161.2018121151976,46.597999572753906,194994800,52874300,458647500
2020-04-15,68.85665130615234,163.94891357421875,48.65533447265625,69.31661411100032,165.56093391594052,50.20866775512695,67.93672569645638,161.4307321716492,47.33333206176758,68.365216078865,163.30028337333727,49.46666717529297,131154400,40940800,353655000
2020-04-16,69.40377044677734,168.87074279785156,49.680667877197266,69.76932337939922,169.09967359000694,50.630001068115234,68.35311605698439,164.9217776000126,47.11466598510742,69.57081070155868,166.25718538887708,47.79600143432617,157125200,50479600,309868500
2020-04-17,68.46204376220703,170.3588104248047,50.259334564208984,69.46670842031787,171.69420396711413,51.663333892822266,67.02404968637673,167.7547711852542,49.84400177001953,68.91959068992213,171.21727562276104,51.48533248901367,215250000,52765600,196923000
